name,sellingPrice,purchasePrice,openingStock,unit,barcode
Parle-G,10,7,50,piece,8901030865523
Maggi Noodles,14,11,40,piece,8901058000157
Amul Milk 500ml,30,27,24,piece,8901262010016
Britannia Bread,40,32,15,piece,8901063012345
Good Day Biscuit,20,15,30,piece,8901063123456
Tata Salt 1kg,28,22,20,kg,8901042951234
Fortune Oil 1L,145,130,12,L,8901030869999
Surf Excel 500g,95,80,10,piece,8901030871111
Colgate 100g,55,42,18,piece,8901314123456
Lifebuoy Soap,30,22,25,piece,8901030888888
₹1 Toffee,1,0.5,100,piece,
₹2 Chocolate,2,1,80,piece,
Red Label Tea 250g,120,100,8,piece,8901030899999
Sugar 1kg,45,38,25,kg,8901030811111
Onion 1kg,30,22,40,kg,
Tomato 1kg,35,25,30,kg,
Rice 5kg,56,50,50,kg,8901030822222
Dal Toor 1kg,140,120,15,kg,8901030833333
Detergent Bar,20,14,20,piece,8901030844444
Coconut Oil 100ml,45,35,12,piece,8901030855555
